filename,filepath,genre,mood
1483825212_Enter Sandman (Remastered 2021.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/1483825212_Enter Sandman (Remastered 2021.mp3,rock,motivational
927900_Wind Of Change.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/927900_Wind Of Change.mp3,rock,sad
625643_Don't Stop Believin'.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/625643_Don't Stop Believin'.mp3,rock,dream
69962764_Should I Stay or Should I Go (.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/69962764_Should I Stay or Should I Go (.mp3,rock,emotional
505510232_Knockin' On Heaven's Door.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/505510232_Knockin' On Heaven's Door.mp3,rock,emotional
725254_Scar Tissue.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/725254_Scar Tissue.mp3,rock,dark
24949681_Sweet Home Alabama.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/24949681_Sweet Home Alabama.mp3,rock,romantic
624823_I Don't Want To Miss A Thing.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/624823_I Don't Want To Miss A Thing.mp3,rock,romantic
545992732_I Love Rock 'N Roll.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/545992732_I Love Rock 'N Roll.mp3,rock,dark
1078779_Hold the Line.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/1078779_Hold the Line.mp3,rock,emotional
62082829_Killing In The Name.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/62082829_Killing In The Name.mp3,rock,emotional
883648_Fortunate Son.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/883648_Fortunate Son.mp3,rock,dark
3155135_House of the Rising Sun.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/3155135_House of the Rising Sun.mp3,rock,dream
1105736_The Man Who Sold The World (Li.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/1105736_The Man Who Sold The World (Li.mp3,rock,dark
107471926_Starman (2012 Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/107471926_Starman (2012 Remaster).mp3,rock,romantic
725261_Otherside.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/725261_Otherside.mp3,rock,dark
678044_Basket Case.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/678044_Basket Case.mp3,rock,motivational
"7818900_Paint It, Black.mp3","/content/drive/MyDrive/Artishow/Deezer/rock/7818900_Paint It, Black.mp3",rock,motivational
13459069_I Want To Break Free (Remaster.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/13459069_I Want To Break Free (Remaster.mp3,rock,emotional
1559695_Simple Man.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/1559695_Simple Man.mp3,rock,dark
4125592_Start Me Up (Remastered 2009).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/4125592_Start Me Up (Remastered 2009).mp3,rock,emotional
725929_By the Way.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/725929_By the Way.mp3,rock,motivational
3152622_Golden Brown.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/3152622_Golden Brown.mp3,rock,happy
2246520677_Cryin'.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2246520677_Cryin'.mp3,rock,motivational
883644_Have You Ever Seen The Rain.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/883644_Have You Ever Seen The Rain.mp3,rock,dark
3107395_Are You Gonna Go My Way.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/3107395_Are You Gonna Go My Way.mp3,rock,emotional
3667326_La Grange (2005 Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/3667326_La Grange (2005 Remaster).mp3,rock,dark
1579265_Sunday Bloody Sunday (Remaster.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/1579265_Sunday Bloody Sunday (Remaster.mp3,rock,emotional
3826694_Heart of Gold (2009 Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/3826694_Heart of Gold (2009 Remaster).mp3,rock,romantic
2525877_Roxanne.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2525877_Roxanne.mp3,rock,emotional
92720006_T.N.T..mp3,/content/drive/MyDrive/Artishow/Deezer/rock/92720006_T.N.T..mp3,rock,dark
378299591_Come Out and Play (2008 Remast.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/378299591_Come Out and Play (2008 Remast.mp3,rock,motivational
2544628_Island In The Sun.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2544628_Island In The Sun.mp3,rock,dark
378299601_Self Esteem (2008 Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/378299601_Self Esteem (2008 Remaster).mp3,rock,emotional
715954_Holiday.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/715954_Holiday.mp3,rock,emotional
78631539_Black Hole Sun.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/78631539_Black Hole Sun.mp3,rock,emotional
78671026_Whole Lotta Love (Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/78671026_Whole Lotta Love (Remaster).mp3,rock,motivational
60840057_Smoke On The Water (Remastered.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/60840057_Smoke On The Water (Remastered.mp3,rock,happy
1559717_Free Bird.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/1559717_Free Bird.mp3,rock,emotional
97081744_Walk On the Wild Side.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/97081744_Walk On the Wild Side.mp3,rock,epic
3091966_Surfin' U.S.A. (Remastered 200.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/3091966_Surfin' U.S.A. (Remastered 200.mp3,rock,emotional
2133998_Gimme All Your Lovin'.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2133998_Gimme All Your Lovin'.mp3,rock,motivational
9956063_Sympathy For The Devil.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/9956063_Sympathy For The Devil.mp3,rock,emotional
5093662_Psycho Killer (2005 Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/5093662_Psycho Killer (2005 Remaster).mp3,rock,emotional
13438425_Because the Night.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/13438425_Because the Night.mp3,rock,romantic
665714262_Every Breath You Take.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/665714262_Every Breath You Take.mp3,rock,dark
2303729_Love Is A Long Road.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2303729_Love Is A Long Road.mp3,rock,emotional
63480990_Go Your Own Way (2004 Remaster.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/63480990_Go Your Own Way (2004 Remaster.mp3,rock,emotional
2522288451_Now And Then.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2522288451_Now And Then.mp3,rock,dark
116348614_Day Tripper (Remastered 2015).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/116348614_Day Tripper (Remastered 2015).mp3,rock,emotional
670804_Roadhouse Blues.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/670804_Roadhouse Blues.mp3,rock,epic
2194033397_Fast Car.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2194033397_Fast Car.mp3,rock,dream
2503273_Goodbye Stranger.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2503273_Goodbye Stranger.mp3,rock,dream
4006895_Carry on Wayward Son.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/4006895_Carry on Wayward Son.mp3,rock,emotional
727720_A Horse with No Name.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/727720_A Horse with No Name.mp3,rock,emotional
7675130_Alive.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/7675130_Alive.mp3,rock,motivational
15347259_Hurricane.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/15347259_Hurricane.mp3,rock,emotional
6596867_Jailhouse Rock.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/6596867_Jailhouse Rock.mp3,rock,emotional
2121805_Baba O'Riley.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2121805_Baba O'Riley.mp3,rock,motivational
4952889_All Along the Watchtower.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/4952889_All Along the Watchtower.mp3,rock,motivational
883640_Bad Moon Rising (Remastered 19.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/883640_Bad Moon Rising (Remastered 19.mp3,rock,dark
2894786671_Murder On The Dancefloor (InVe.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2894786671_Murder On The Dancefloor (InVe.mp3,rock,dark
65445466_Riders on the Storm.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/65445466_Riders on the Storm.mp3,rock,emotional
677484_Harvest Moon.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/677484_Harvest Moon.mp3,rock,sad
1579267_New Year's Day (Remastered 200.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/1579267_New Year's Day (Remastered 200.mp3,rock,emotional
131744724_Blitzkrieg Bop (2016 Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/131744724_Blitzkrieg Bop (2016 Remaster).mp3,rock,motivational
25003811_Get It On.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/25003811_Get It On.mp3,rock,epic
60840053_Highway Star (Remastered 2012).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/60840053_Highway Star (Remastered 2012).mp3,rock,emotional
536481_Time to Pretend.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/536481_Time to Pretend.mp3,rock,motivational
4124759_Angie (Remastered 2009).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/4124759_Angie (Remastered 2009).mp3,rock,romantic
2503446951_Angry.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2503446951_Angry.mp3,rock,emotional
67549272_Silver Springs (2004 Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/67549272_Silver Springs (2004 Remaster).mp3,rock,emotional
15178233_Would? (2022 Remaster).mp3,/content/drive/MyDrive/Artishow/Deezer/rock/15178233_Would? (2022 Remaster).mp3,rock,motivational
3586842_For What It's Worth.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/3586842_For What It's Worth.mp3,rock,dark
2503284_Give A Little Bit.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/2503284_Give A Little Bit.mp3,rock,emotional
1559253732_Stumblin' In.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/1559253732_Stumblin' In.mp3,rock,romantic
732851_Lonely People.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/732851_Lonely People.mp3,rock,romantic
355649431_Red Right Hand (2011 Remastere.mp3,/content/drive/MyDrive/Artishow/Deezer/rock/355649431_Red Right Hand (2011 Remastere.mp3,rock,epic
2638201552_Gata Only.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2638201552_Gata Only.mp3,reggae,dream
3241972661_La Plena (W Sound 05).mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3241972661_La Plena (W Sound 05).mp3,reggae,romantic
3171003121_EoO.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3171003121_EoO.mp3,reggae,dark
2200304467_BESO.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2200304467_BESO.mp3,reggae,emotional
3171002991_VOY A LLeVARTE PA PR.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3171002991_VOY A LLeVARTE PA PR.mp3,reggae,emotional
2601690812_Praise Jah In The Moonlight.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2601690812_Praise Jah In The Moonlight.mp3,reggae,emotional
3086954731_Qué Pasaría....mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3086954731_Qué Pasaría....mp3,reggae,emotional
2154046487_TQG.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2154046487_TQG.mp3,reggae,dream
2862265592_PELIGROSA.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2862265592_PELIGROSA.mp3,reggae,romantic
2725148591_Santa.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2725148591_Santa.mp3,reggae,emotional
3171003031_VeLDÁ.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3171003031_VeLDÁ.mp3,reggae,epic
702421822_LA CANCIÓN.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/702421822_LA CANCIÓN.mp3,reggae,dream
3177340641_Te Quería Ver.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3177340641_Te Quería Ver.mp3,reggae,emotional
2403815945_QLONA.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2403815945_QLONA.mp3,reggae,emotional
686020062_Callaita.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/686020062_Callaita.mp3,reggae,romantic
86648035_Natural Mystic.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/86648035_Natural Mystic.mp3,reggae,romantic
79845486_Rude.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/79845486_Rude.mp3,reggae,emotional
1741494287_Moscow Mule.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1741494287_Moscow Mule.mp3,reggae,romantic
2565307142_LUNA.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2565307142_LUNA.mp3,reggae,emotional
2690082552_Lo Que Tiene.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2690082552_Lo Que Tiene.mp3,reggae,relaxing
401393742_Criminal.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/401393742_Criminal.mp3,reggae,emotional
2352913965_DILUVIO.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2352913965_DILUVIO.mp3,reggae,dark
2570877172_BELLAKEO.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2570877172_BELLAKEO.mp3,reggae,relaxing
2986885311_Después De La 1.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2986885311_Después De La 1.mp3,reggae,romantic
979011_Bandoleros.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/979011_Bandoleros.mp3,reggae,emotional
78316091_Yo Voy.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/78316091_Yo Voy.mp3,reggae,dark
3064639361_Bing Bong.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3064639361_Bing Bong.mp3,reggae,romantic
2502155_One Drop.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2502155_One Drop.mp3,reggae,dark
2496106541_PERRO NEGRO.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2496106541_PERRO NEGRO.mp3,reggae,romantic
15515244_Dile.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/15515244_Dile.mp3,reggae,dream
2748633221_Mírame.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2748633221_Mírame.mp3,reggae,emotional
2352899405_QUEMA.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2352899405_QUEMA.mp3,reggae,emotional
530300741_Exodus.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/530300741_Exodus.mp3,reggae,emotional
2831208582_SORRY 4 THAT MUCH.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2831208582_SORRY 4 THAT MUCH.mp3,reggae,emotional
2237450_Rastaman Live Up.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2237450_Rastaman Live Up.mp3,reggae,romantic
1882539797_GATÚBELA.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1882539797_GATÚBELA.mp3,reggae,romantic
2074439067_Yandel 150.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2074439067_Yandel 150.mp3,reggae,dark
1563415072_Desesperados.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1563415072_Desesperados.mp3,reggae,dark
2216510797_CLASSY 101.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2216510797_CLASSY 101.mp3,reggae,romantic
2502150_Zimbabwe.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2502150_Zimbabwe.mp3,reggae,dark
64848611_Ella Y Yo (Featuring Don Omar).mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/64848611_Ella Y Yo (Featuring Don Omar).mp3,reggae,dark
1575389_Road To Zion.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1575389_Road To Zion.mp3,reggae,epic
11622585_World A Music.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/11622585_World A Music.mp3,reggae,romantic
1283546482_EL MAKINON.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1283546482_EL MAKINON.mp3,reggae,emotional
1066959132_Relación (Remix).mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1066959132_Relación (Remix).mp3,reggae,romantic
"2727377651_Long, Long Ago.mp3","/content/drive/MyDrive/Artishow/Deezer/reggae/2727377651_Long, Long Ago.mp3",reggae,romantic
140421777_El Amante.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/140421777_El Amante.mp3,reggae,dark
1704442327_LA INOCENTE.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1704442327_LA INOCENTE.mp3,reggae,relaxing
110955778_Borro Cassette.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/110955778_Borro Cassette.mp3,reggae,romantic
"3922216_You Don't Love Me (No, No, No).mp3","/content/drive/MyDrive/Artishow/Deezer/reggae/3922216_You Don't Love Me (No, No, No).mp3",reggae,emotional
440252642_Rompe.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/440252642_Rompe.mp3,reggae,romantic
2923626621_Soltera (W Sound 01).mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2923626621_Soltera (W Sound 01).mp3,reggae,dream
6697440_Ganja Smuggling.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/6697440_Ganja Smuggling.mp3,reggae,emotional
1583147_Lively Up Yourself.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1583147_Lively Up Yourself.mp3,reggae,romantic
3128448851_EL CLúB.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3128448851_EL CLúB.mp3,reggae,romantic
2742844861_Guay.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2742844861_Guay.mp3,reggae,epic
2031418027_World A Reggae Music.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2031418027_World A Reggae Music.mp3,reggae,epic
2729119091_offline.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2729119091_offline.mp3,reggae,dream
3074108251_Mami Tú.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3074108251_Mami Tú.mp3,reggae,relaxing
2960711_Rakata.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2960711_Rakata.mp3,reggae,epic
1047401612_Sleepin' Lion.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1047401612_Sleepin' Lion.mp3,reggae,emotional
630193912_Get Free.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/630193912_Get Free.mp3,reggae,emotional
71238374_Cupid (Deluxe Edition Version).mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/71238374_Cupid (Deluxe Edition Version).mp3,reggae,dark
86648063_Positive Vibration.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/86648063_Positive Vibration.mp3,reggae,romantic
2960714_Noche De Sexo.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2960714_Noche De Sexo.mp3,reggae,epic
71499473_Candy.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/71499473_Candy.mp3,reggae,emotional
3496865_The Same Song (Edit).mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3496865_The Same Song (Edit).mp3,reggae,dark
828716362_Sigues Con El.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/828716362_Sigues Con El.mp3,reggae,dream
23494861_Dreadlock Holiday.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/23494861_Dreadlock Holiday.mp3,reggae,dream
1360495262_Perdóname.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1360495262_Perdóname.mp3,reggae,emotional
881477_Ojitos Chiquitos.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/881477_Ojitos Chiquitos.mp3,reggae,epic
2368704415_Lollipop.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2368704415_Lollipop.mp3,reggae,dark
73219998_Papi Chulo... Te Traigo El Mmm.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/73219998_Papi Chulo... Te Traigo El Mmm.mp3,reggae,emotional
688355072_Ven Bailalo - Reggaeton Mix.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/688355072_Ven Bailalo - Reggaeton Mix.mp3,reggae,emotional
6953639_El Telefono.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/6953639_El Telefono.mp3,reggae,epic
2753977091_FENDI.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2753977091_FENDI.mp3,reggae,emotional
2044678137_CHORRITO PA LAS ANIMAS.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2044678137_CHORRITO PA LAS ANIMAS.mp3,reggae,emotional
12269971_Legalize It.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/12269971_Legalize It.mp3,reggae,emotional
625985922_Quiero Bailar.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/625985922_Quiero Bailar.mp3,reggae,epic
372299631_Pa' Que La Pases Bien.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/372299631_Pa' Que La Pases Bien.mp3,reggae,emotional
1573617_Oye Mi Canto.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1573617_Oye Mi Canto.mp3,reggae,emotional
112987350_Fanatica Sensual.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/112987350_Fanatica Sensual.mp3,reggae,epic
38217121_Pa' Que Retozen.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/38217121_Pa' Que Retozen.mp3,reggae,dream
1123876_Swing Easy.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1123876_Swing Easy.mp3,reggae,emotional
3341400_Bluebeat And Ska (Single Versi.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3341400_Bluebeat And Ska (Single Versi.mp3,reggae,dark
94881544_Rastafari Anthem.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/94881544_Rastafari Anthem.mp3,reggae,emotional
3285820401_Haffi Live.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3285820401_Haffi Live.mp3,reggae,dream
3171905951_Next Generation.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3171905951_Next Generation.mp3,reggae,emotional
3417370_Siente El Boom.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3417370_Siente El Boom.mp3,reggae,epic
702421832_UN PESO.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/702421832_UN PESO.mp3,reggae,emotional
1123828_Below The Bassline.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/1123828_Below The Bassline.mp3,reggae,emotional
3276167871_FLIPA.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/3276167871_FLIPA.mp3,reggae,romantic
2300150265_ID.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2300150265_ID.mp3,reggae,epic
2874805052_Lady Sun.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2874805052_Lady Sun.mp3,reggae,dark
66315753_Is This Love.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/66315753_Is This Love.mp3,reggae,epic
2967318041_HABLAME CLARO.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2967318041_HABLAME CLARO.mp3,reggae,emotional
85564924_Fanatica Sensual.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/85564924_Fanatica Sensual.mp3,reggae,epic
2622772422_LA FALDA.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2622772422_LA FALDA.mp3,reggae,emotional
2754606801_Rambo.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/2754606801_Rambo.mp3,reggae,emotional
109929520_El Taxi.mp3,/content/drive/MyDrive/Artishow/Deezer/reggae/109929520_El Taxi.mp3,reggae,emotional
3214169391_Abracadabra.mp3,/content/drive/MyDrive/Artishow/Deezer/pop/3214169391_Abracadabra.mp3,pop,emotional
2801558052_BIRDS OF A FEATHER.mp3,/content/drive/MyDrive/Artishow/Deezer/pop/2801558052_BIRDS OF A FEATHER.mp3,pop,romantic
2815968782_Messy.mp3,/content/drive/MyDrive/Artishow/Deezer/pop/2815968782_Messy.mp3,pop,romantic
2105158337_Flowers.mp3,/content/drive/MyDrive/Artishow/Deezer/pop/2105158337_Flowers.mp3,pop,dark
2661514912_Training Season.mp3,/content/drive/MyDrive/Artishow/Deezer/pop/2661514912_Training Season.mp3,pop,emotional
3242688291_NINAO.mp3,/content/drive/MyDrive/Artishow/Deezer/pop/3242688291_NINAO.mp3,pop,romantic
